Date,Type,Title,Target Keyword,Est. Volume / mo,Difficulty,Format,Priority,Pillar,Why (1-liner)
04-05-2026,Update Blog,Rewrite: /blog/remote-screen-monitoring-software-a-game-changer-for-work-from-home-teams,remote screen monitoring software,0,Medium Competition,2200w blog,critical,SEO,47K impressions but only 72 clicks at pos 35 — refresh to start capturing them
04-05-2026,Update Blog,"Refresh existing page targeting ""workforce productivity platform""",workforce productivity platform,364,Low,1500w blog,high,SEO,"Already ranking — push to top 10 for measurable click lift (364 monthly searches, KD per Moz)"
04-05-2026,Update Blog,"Refresh existing page targeting ""track remote employees""",track remote employees,57,Low,1500w blog,medium,SEO,"Already ranking — push to top 10 for measurable click lift (57 monthly searches, KD per Moz)"
04-05-2026,Create Blog,Agentic AI in employee monitoring: the complete guide,agentic AI employee monitoring,450,Low Competition,2500w guide,high,SEO,"450 monthly searches, very low competition — uncontested theme (Agentic AI)"
05-05-2026,Update Blog,Rewrite: /blog/best-work-from-home-monitoring-software,best work from home monitoring software,0,High Competition,2500w listicle,critical,SEO,"51K impressions, 27 clicks (CTR 0.05%) at pos 43 — biggest impression/click gap on the site"
05-05-2026,Update Blog,"Refresh existing page targeting ""remote working monitoring software""",remote working monitoring software,174,Low,1500w blog,medium,SEO,"Already ranking — push to top 10 for measurable click lift (174 monthly searches, KD per Moz)"
05-05-2026,Update Blog,"Refresh existing page targeting ""workforce analytics software""",workforce analytics software,47,Low,1500w blog,medium,SEO,"Already ranking — push to top 10 for measurable click lift (47 monthly searches, KD per Moz)"
05-05-2026,Create Blog,How AI recommendations improve workforce productivity,AI workforce recommendations,450,Low Competition,1500w guide,medium,SEO,"450 monthly searches, very low competition — uncontested theme (Agentic AI)"
06-05-2026,Ops,Set up Google Business Profile + request 25 customer reviews,,0,Low,External admin / report,medium,GEO,No GBP listing today — 'we360' branded SERP shows no knowledge panel; 25 reviews lift visibility 3-5×
06-05-2026,Update Blog,Rewrite: /blog/top-5-prohance-alternatives-in-2025,prohance alternative,0,Medium Competition,1800w blog,critical,SEO,Already ranking #10 for 'prohance alternative' (16K imp/16mo) — push to top 5 with retitle + answer-capsule
06-05-2026,Update Blog,"Refresh existing page targeting ""employee efficiency""",employee efficiency,56,Low,1500w blog,medium,SEO,"Already ranking — push to top 10 for measurable click lift (56 monthly searches, KD per Moz)"
06-05-2026,Update Blog,"Refresh existing page targeting ""workforce analytics solution""",workforce analytics solution,33,Low,1500w blog,medium,SEO,"Already ranking — push to top 10 for measurable click lift (33 monthly searches, KD per Moz)"
06-05-2026,Create Blog,Field employee GPS tracking software India: complete guide,field employee GPS tracking India,750,Low Competition,2500w guide,high,GEO,"750 monthly searches, very low competition — uncontested theme (India Field Force GPS)"
07-05-2026,Update Blog,Rewrite: /blog/how-to-measure-productivity-formula-metrics-and-best-methods,how to measure productivity,0,Medium Competition,2800w listicle,high,SEO,"29K imp, 53 clicks at pos 17.5 — striking distance + absorb 'what causes low productivity' (25K imp/16mo)"
07-05-2026,Update Blog,"Refresh existing page targeting ""user tracking software""",user tracking software,30,Low,1500w blog,medium,SEO,"Already ranking — push to top 10 for measurable click lift (30 monthly searches, KD per Moz)"
07-05-2026,Update Blog,"Refresh existing page targeting ""user activity monitoring tools""",user activity monitoring tools,35,Low,1500w blog,medium,SEO,"Already ranking — push to top 10 for measurable click lift (35 monthly searches, KD per Moz)"
07-05-2026,Create Blog,AI vs traditional employee monitoring: what's the difference?,AI vs traditional monitoring,300,Low Competition,1500w comparison,medium,SEO,"300 monthly searches, very low competition — uncontested theme (Agentic AI)"
08-05-2026,Update Blog,Rewrite: /blog/team-dynamics-at-workplace,team dynamics at workplace,0,Low Competition,2000w blog,medium,SEO,"22K imp, 101 clicks at pos 16 — already 100+ clicks/16mo, refresh to ~3× clicks"
08-05-2026,Update Blog,"Refresh existing page targeting ""productivity monitoring""",productivity monitoring,27,Low,1500w blog,medium,SEO,"Already ranking — push to top 10 for measurable click lift (27 monthly searches, KD per Moz)"
08-05-2026,Update Blog,"Refresh existing page targeting ""employee spy software""",employee spy software,20,Low,1500w blog,medium,SEO,"Already ranking — push to top 10 for measurable click lift (20 monthly searches, KD per Moz)"
08-05-2026,Create Blog,Live screen monitoring software: complete guide 2026,live screen monitoring software,900,Low Competition,2500w guide,high,SEO,"900 monthly searches, very low competition — uncontested theme (Livestream Monitoring)"
11-05-2026,Update Blog,Rewrite: /blog/zoho-people-vs-keka-hr,zoho people vs keka,0,Medium Competition,1800w blog,high,SEO,"Already top-10 (pos 10.6, 76 clicks/16mo) for 'zoho people vs keka' — small refresh pushes to top 5"
11-05-2026,Create Blog,When is live employee monitoring appropriate? Ethics guide,employee live monitoring ethics,450,Low Competition,2000w guide,medium,SEO,"450 monthly searches, very low competition — uncontested theme (Livestream Monitoring)"
12-05-2026,Update Blog,"Striking-distance refresh: /blog-generator (""blog generator"")",blog generator,0,Medium Competition,1500w blog,high,SEO,"4,346 imp/mo for 'blog generator' at pos 13 — striking distance for top 10 (~280 clicks/mo upside)"
12-05-2026,Create Blog,The future of workforce management: AI-driven insights 2026,future of workforce management AI,600,Low Competition,2000w blog,medium,SEO,"600 monthly searches, very low competition — uncontested theme (Agentic AI)"
13-05-2026,Update Blog,"Striking-distance refresh: /automated-attendance (""cloud-based attendance system"")",cloud based attendance system,0,Medium Competition,2000w blog,high,SEO,Cluster of 4 attendance-system queries at pos 11–16 (~7K imp/16mo combined) — refresh for top 5
13-05-2026,Create Blog,How FMCG companies in India track field sales teams,FMCG field force tracking India,300,Low Competition,2000w guide,medium,GEO,"300 monthly searches, very low competition — uncontested theme (India Field Force GPS)"
13-05-2026,Create Blog,Livestream vs screenshot monitoring: which is right for your team?,livestream vs screenshot monitoring,300,Low Competition,1500w comparison,medium,SEO,"300 monthly searches, very low competition — uncontested theme (Livestream Monitoring)"
14-05-2026,Update Blog,"Striking-distance refresh: /job-descriptions/crm-specialist (""crm specialist"")",crm specialist,0,Low Competition,1500w blog,medium,SEO,Existing JD template at pos 17 — expand with salary + skills + interview Qs to push top 5
15-05-2026,Update Blog,"Refresh existing page targeting ""measure of productivity""",measure of productivity,246,Low,1500w blog,low,SEO,"Already ranking — push to top 10 for measurable click lift (246 monthly searches, KD per Moz)"
15-05-2026,Update Blog,"Refresh existing page targeting ""workforce tracking""",workforce tracking,25,Low,1500w blog,low,SEO,"Already ranking — push to top 10 for measurable click lift (25 monthly searches, KD per Moz)"
18-05-2026,Update Blog,"Refresh existing page targeting ""formula for constant workforce planning""",formula for constant workforce planning,27,Low,1500w blog,low,SEO,"Already ranking — push to top 10 for measurable click lift (27 monthly searches, KD per Moz)"
18-05-2026,Update Blog,"Refresh existing page targeting ""pc monitoring tools""",pc monitoring tools,25,Low,1500w blog,low,SEO,"Already ranking — push to top 10 for measurable click lift (25 monthly searches, KD per Moz)"
18-05-2026,Update Page,"Retarget homepage to rank for ""employee monitoring software""",employee monitoring software,10000,High Competition,0w landing page,critical,SEO,'Employee monitoring software' = 10K monthly searches — biggest keyword gap (we're not in top 50 today)
19-05-2026,Update Blog,"Refresh existing page targeting ""remote screen monitoring software""",remote screen monitoring software,22,Low,1500w blog,low,SEO,"Already ranking — push to top 10 for measurable click lift (22 monthly searches, KD per Moz)"
19-05-2026,Create Blog,How we360.ai's AI engine detects productivity risks,AI productivity risk detection,225,Low Competition,1200w guide,medium,SEO,"225 monthly searches, very low competition — uncontested theme (Agentic AI)"
19-05-2026,Create Blog,Real-time monitoring for BPO and call centre teams India,real time monitoring BPO India,250,Low Competition,2000w blog,medium,SEO,"250 monthly searches, very low competition — uncontested theme (Livestream Monitoring)"
20-05-2026,Update Blog,"Refresh existing page targeting ""tracking remote worker engagement""",tracking remote worker engagement,28,Low,1500w blog,low,SEO,"Already ranking — push to top 10 for measurable click lift (28 monthly searches, KD per Moz)"
20-05-2026,Update Blog,"Refresh existing page targeting ""softwar for tracking people""",softwar for tracking people,27,Low,1500w blog,low,SEO,"Already ranking — push to top 10 for measurable click lift (27 monthly searches, KD per Moz)"
20-05-2026,Create Blog,How to calculate the real cost of unproductive employees,cost of unproductive employees,750,Low Competition,2500w guide,medium,SEO,"750 monthly searches, very low competition — uncontested theme (Cost Intelligence)"
21-05-2026,Update Blog,"Refresh existing page targeting ""pc monitoring tools with notifications""",pc monitoring tools with notifications,27,Low,1500w blog,low,SEO,"Already ranking — push to top 10 for measurable click lift (27 monthly searches, KD per Moz)"
21-05-2026,Create Blog,GPS attendance for field staff: legal and practical guide India,GPS attendance field staff India,600,Low Competition,2000w guide,medium,GEO,"600 monthly searches, very low competition — uncontested theme (India Field Force GPS)"
22-05-2026,Update Blog,"Refresh existing page targeting ""maximum productivity""",maximum productivity,20,Low,1500w blog,low,SEO,"Already ranking — push to top 10 for measurable click lift (20 monthly searches, KD per Moz)"
25-05-2026,Create Page,Build /features/remote-employee-monitoring (new feature pillar),remote employee monitoring software,3000,High Competition,3000w landing page,critical,SEO,3K monthly searches for 'remote employee monitoring software' — dedicated feature page (we don't have one)
26-05-2026,Create Blog,Employee monitoring ROI: complete guide for CFOs,employee monitoring ROI,450,Low Competition,2000w guide,medium,SEO,"450 monthly searches, very low competition — uncontested theme (Cost Intelligence)"
28-05-2026,Create Blog,Field force management software India: top options compared,field force management software India,750,Low Competition,2000w blog,medium,GEO,"750 monthly searches, very low competition — uncontested theme (India Field Force GPS)"
30-05-2026,Create Blog,Publish industry-leader expertise blog (May),industry expertise we360 may,0,Low,1500w blog,medium,AEO,Industry-leader byline — E-E-A-T signal + LinkedIn distribution drives referral traffic
01-06-2026,Update Page,Refresh /features/screen-recording (target screen-monitoring head term),screen monitoring software employees,1750,Medium Competition,2500w landing page,high,SEO,"Existing /features/screen-recording is thin — refresh for 'screen monitoring software' (1.7K vol, KD Medium)"
01-06-2026,Create Blog,Prune 41 thin/duplicate blog posts — execute keep/merge/410 decisions,blog pruning audit,0,Low,0w blog,high,SEO,"Audit 41 thin blog posts (Crawled-not-indexed by Google) — decide merge, delete, or refresh each"
02-06-2026,Update Blog,Solution-page refresh: /solutions/employee-monitoring,employee monitoring software,0,High Competition,2500w blog,critical,SEO,"/solutions/employee-monitoring is our top BoF page — 393 sessions/mo today; refresh targets 1,000+ sessions/mo"
02-06-2026,Create Blog,Employee cost calculator (free tool),employee cost calculator,900,Low Competition,800w blog,medium,SEO,"900 monthly searches, very low competition — uncontested theme (Cost Intelligence)"
02-06-2026,Create Blog,"Write ""Best Employee Monitoring Software 2026"" listicle",best employee monitoring software,5500,High Competition,3500w listicle,critical,SEO,"5,500 monthly searches for 'best employee monitoring software 2026' — listicle owns this query type"
03-06-2026,Update Blog,Solution-page refresh: /attendance-tracking-software,attendance tracking software,0,High Competition,2200w blog,high,SEO,/attendance-tracking-software has 75K imp/16mo at pos 35 — biggest latent-demand solution page
03-06-2026,Create Blog,Shadow IT in Indian companies: what your employees are actually using,shadow IT India,450,Low Competition,2000w blog,medium,SEO,"450 monthly searches, very low competition — uncontested theme (SaaS / Technology Usage)"
03-06-2026,Create Blog,"Write blog: ""How to track employee internet usage""",how to track employee internet usage,2250,Low Competition,2500w guide,high,SEO,2250 monthly searches — feature cluster blog feeding the relevant feature pillar
04-06-2026,Update Blog,Solution-page refresh: /remote-employee-monitoring,remote employee monitoring,0,High Competition,2200w blog,high,SEO,/remote-employee-monitoring has 82K imp/16mo at pos 39 — invisible to searchers despite high impressions
04-06-2026,Create Blog,How to manage remote field employees across multiple cities,manage field employees multiple cities India,300,Low Competition,1800w guide,medium,GEO,"300 monthly searches, very low competition — uncontested theme (India Field Force GPS)"
04-06-2026,Create Blog,"Write blog: ""Website monitoring for employees""",website monitoring for employees,1500,Medium Competition,1800w blog,medium,SEO,1500 monthly searches — feature cluster blog feeding the relevant feature pillar
05-06-2026,Create Blog,"Live monitoring compliance guide: Indian IT law, GDPR, PDPA",employee monitoring compliance India,450,Low Competition,2500w guide,medium,SEO,"450 monthly searches, very low competition — uncontested theme (Livestream Monitoring)"
05-06-2026,Create Blog,"Write blog: ""Application usage tracking software""",application usage tracking software,1150,Medium Competition,1800w blog,medium,SEO,1150 monthly searches — feature cluster blog feeding the relevant feature pillar
08-06-2026,Update Page,Refresh /features/productivity-tracking (target productivity-monitoring head term),productivity monitoring software,1750,Medium Competition,2500w landing page,high,SEO,Existing /features/productivity-tracking is thin — target 'productivity monitoring software' head term
08-06-2026,Create Page,Build /vs/we360-vs-hubstaff (Hubstaff vs-page),we360 vs hubstaff,0,Medium Competition,2200w landing page,critical,SEO,Build /vs/we360-vs-hubstaff comparison page — captures evaluator-stage buyers comparing tools
08-06-2026,Create Blog,How to compare employee productivity across multiple office locations,compare productivity multiple offices,600,Low Competition,2000w guide,high,GEO,"600 monthly searches, very low competition — uncontested theme (Multi-Location Productivity)"
09-06-2026,Create Page,Build /vs/we360-vs-time-doctor (Time Doctor vs-page),we360 vs time doctor,0,Medium Competition,2200w landing page,critical,SEO,Build /vs/we360-vs-time-doctor comparison page — captures evaluator-stage buyers comparing tools
09-06-2026,Create Blog,Workforce cost optimisation strategies for Indian companies,workforce cost optimisation India,300,Low Competition,2000w blog,medium,SEO,"300 monthly searches, very low competition — uncontested theme (Cost Intelligence)"
09-06-2026,Create Blog,"Write ""How to Monitor Remote Employees"" guide",how to monitor remote employees,2250,Low Competition,2200w guide,high,SEO,"2,250 monthly searches, low competition — quick-win how-to guide"
10-06-2026,Create Page,Build /vs/we360-vs-teramind (Teramind vs-page),we360 vs teramind,0,Medium Competition,2200w landing page,high,SEO,Build /vs/we360-vs-teramind comparison page — captures evaluator-stage buyers comparing tools
10-06-2026,Create Blog,How to reduce SaaS costs by tracking tool usage,reduce SaaS costs employee monitoring,600,Low Competition,1800w guide,medium,SEO,"600 monthly searches, very low competition — uncontested theme (SaaS / Technology Usage)"
10-06-2026,Create Blog,"Write blog: ""How to track employee productivity""",how to track employee productivity,5500,High Competition,2500w guide,high,SEO,5500 monthly searches — feature cluster blog feeding the relevant feature pillar
11-06-2026,Create Page,Build /vs/we360-vs-activtrak (ActivTrak vs-page),we360 vs activtrak,0,Medium Competition,2200w landing page,critical,SEO,Build /vs/we360-vs-activtrak comparison page — captures evaluator-stage buyers comparing tools
11-06-2026,Create Blog,Multi-city workforce analytics for Indian enterprises,multi city workforce analytics India,250,Low Competition,2000w blog,medium,GEO,"250 monthly searches, very low competition — uncontested theme (Multi-Location Productivity)"
11-06-2026,Create Blog,"Write blog: ""Employee productivity benchmarks India""",employee productivity benchmarks India,450,Low Competition,1800w blog,medium,SEO,450 monthly searches — feature cluster blog feeding the relevant feature pillar
12-06-2026,Create Page,Build /vs/we360-vs-desktime (DeskTime vs-page),we360 vs desktime,0,Medium Competition,2200w landing page,high,SEO,Build /vs/we360-vs-desktime comparison page — captures evaluator-stage buyers comparing tools
12-06-2026,Create Page,Build /solutions/time-tracking landing (target head term),time tracking software for employees,6500,High Competition,3000w landing page,high,SEO,"6,500 monthly searches for 'time tracking software for employees' — current /solutions/time-tracker is thin"
15-06-2026,Ops,Internal linking sweep — every BoF page gets 5+ internal links,,0,Low,External admin / report,high,SEO,BoF pages need ≥5 internal links each — cheapest CTR + topical-authority lift in the entire plan
15-06-2026,Update Blog,"Striking-distance refresh: /blog/canva-alternative (""canva alternatives"")",canva alternatives,0,Medium Competition,1800w blog,high,SEO,"1,020 imp/mo at pos 12 — refresh existing /blog/canva-alternative to top 5"
15-06-2026,Create Page,Build /vs/keka-vs-zoho (Zoho vs-page),keka vs zoho,0,Medium Competition,2200w landing page,high,SEO,Build /vs/keka-vs-zoho comparison page — captures evaluator-stage buyers comparing tools
15-06-2026,Create Page,Build /features/livestream (new feature pillar — Hubstaff differentiator),live screen monitoring software,900,Low Competition,2500w landing page,high,SEO,Build /features/livestream — Hubstaff differentiator (they refuse to offer this); anchors livestream cluster
15-06-2026,Create Page,Build /in/wfh-tracking-software-india (India BoF),WFH tracking software India,550,Low Competition,1800w landing page,high,GEO,550 monthly searches for 'WFH tracking software India' — uncontested by global competitors
15-06-2026,Create Page,Build /reviews/ (aggregate G2 + Capterra + Trustpilot reviews),we360 reviews,100,Low,1200w landing page,medium,AEO,Aggregate G2/Capterra reviews on-site — strong AI Overview citation signal + branded SERP improvement
16-06-2026,Create Page,Build /vs/zoho-vs-keka (Keka vs-page),zoho vs keka,0,Medium Competition,2200w landing page,high,SEO,Build /vs/zoho-vs-keka comparison page — captures evaluator-stage buyers comparing tools
16-06-2026,Create Blog,"New blog: ""AI employee monitoring software"" (924 imp/16mo)",ai employee monitoring software,0,Medium Competition,2200w blog,high,SEO,—
16-06-2026,Create Blog,How we360.ai's Cost Intelligence pays for itself,cost intelligence employee monitoring,225,Low Competition,1500w guide,medium,SEO,"225 monthly searches, very low competition — uncontested theme (Cost Intelligence)"
17-06-2026,Update Blog,"Striking-distance refresh: /professional-invoice-generator (""ai invoice generator"")",ai invoice generator,0,Medium Competition,1500w blog,medium,SEO,Existing /professional-invoice-generator at pos 12 for 'ai invoice generator' (894 imp/mo) — retitle for AI angle
17-06-2026,Create Blog,Technology adoption analytics: are employees using your tools?,technology adoption analytics HR,300,Low Competition,1500w blog,medium,SEO,"300 monthly searches, very low competition — uncontested theme (SaaS / Technology Usage)"
17-06-2026,Create Blog,"Write blog: ""How to block distracting websites at work""",how to block distracting websites at work,1500,Low Competition,1800w guide,medium,SEO,1500 monthly searches — feature cluster blog feeding the relevant feature pillar
18-06-2026,Create Blog,Office vs WFH productivity in India: 2026 data and insights,office vs WFH productivity India,1100,Low Competition,2500w comparison,medium,GEO,"1100 monthly searches, very low competition — uncontested theme (Multi-Location Productivity)"
18-06-2026,Create Blog,"Write blog: ""Idle time tracking for remote employees""",idle time tracking for remote employees,600,Low Competition,1800w blog,medium,SEO,600 monthly searches — feature cluster blog feeding the relevant feature pillar
19-06-2026,Create Page,Build /in/leave-management-software-india,leave management software India,1150,Medium Competition,1800w landing page,medium,GEO,"1,150 monthly searches for 'leave management software India' — overlaps with Keka/Zoho integration plays"
20-06-2026,Create Page,Build /how-it-works/ (explainer page — installation → tracking → reports),how does we360 work,200,Low,1500w landing page,medium,AEO,Mid-funnel explainer covering install → tracking → reports — pre-sales education + branded SERP
22-06-2026,Update Page,Refresh /features/agentic-ai (anchor for AI cluster),AI-powered employee monitoring software,1150,Medium Competition,2500w landing page,high,SEO,"Refresh /features/agentic-ai to anchor the 5 Agentic AI cluster blogs (1,150 vol/mo for AI head term)"
22-06-2026,Create Page,Build /integrations/microsoft-teams (Microsoft Teams integration page),microsoft teams employee monitoring integration,0,Low Competition,1500w landing page,high,SEO,Build /integrations/microsoft-teams page — convert microsoft teams-shop visitors who can integrate We360
23-06-2026,Create Page,Build /integrations/jira (Jira integration page),jira employee monitoring integration,0,Low Competition,1500w landing page,high,SEO,Build /integrations/jira page — convert jira-shop visitors who can integrate We360
23-06-2026,Create Page,Build /in/field-force-management-india,field force management software India,750,Low Competition,2000w landing page,high,GEO,750 monthly searches — pillar for the 5 India Field Force cluster blogs (FMCG/pharma/insurance verticals)
24-06-2026,Create Page,Build /integrations/keka (Keka integration page),keka employee monitoring integration,0,Low Competition,1500w landing page,high,SEO,Build /integrations/keka page — convert keka-shop visitors who can integrate We360
24-06-2026,Create Blog,SaaS stack optimisation: the CFO's guide to software ROI,SaaS stack optimisation,750,Low Competition,2500w guide,medium,SEO,"750 monthly searches, very low competition — uncontested theme (SaaS / Technology Usage)"
25-06-2026,Create Page,Build /integrations/zoho (Zoho People integration page),zoho people employee monitoring integration,0,Low Competition,1500w landing page,high,SEO,Build /integrations/zoho page — convert zoho-shop visitors who can integrate We360
25-06-2026,Create Blog,Location performance analytics: what Indian HR leaders need to know,location performance analytics India,225,Low Competition,1800w blog,medium,GEO,"225 monthly searches, very low competition — uncontested theme (Multi-Location Productivity)"
26-06-2026,Create Page,Build /integrations/greythr (greytHR integration page),greythr employee monitoring integration,0,Low Competition,1500w landing page,medium,SEO,Build /integrations/greythr page — convert greythr-shop visitors who can integrate We360
26-06-2026,Create Blog,"Write blog: ""Project management + time tracking software""",project management time tracking software,3000,High Competition,2500w blog,high,SEO,3000 monthly searches — feature cluster blog feeding the relevant feature pillar
30-06-2026,Create Blog,Publish industry-leader expertise blog (June),industry expertise we360 jun,0,Low,1500w blog,medium,AEO,Industry-leader byline — E-E-A-T signal + LinkedIn distribution drives referral traffic
